epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.102,1.21711,1.68416,1.61879,0.26361,0.47712,0.2823,0.10848,2.13102,5.20906,4.21641,0.00054409,0.00054409,0.00054409
2,330.431,1.32305,1.31393,1.63665,0.004,0.41168,0.00322,0.00146,2.48781,inf,7.95623,0.00107798,0.00107798,0.00107798
3,412.337,1.4007,1.25654,1.67313,0.06255,0.44257,0.05623,0.02167,1.95257,18.8789,3.91041,0.00158987,0.00158987,0.00158987
4,500.194,1.32946,1.15178,1.59854,0.12074,0.18849,0.04358,0.01727,2.4144,7.18604,3.50939,0.00156798,0.00156798,0.00156798
5,593.009,1.27189,1.15468,1.57917,0.49577,0.61766,0.51121,0.21686,1.6432,4.00031,2.39643,0.00153497,0.00153497,0.00153497
6,680.952,1.24922,1.04955,1.54901,0.58998,0.57468,0.55041,0.31804,1.5508,2.08312,2.17384,0.00150197,0.00150197,0.00150197
7,780.398,1.20467,1.01727,1.51632,0.69528,0.7823,0.8267,0.52315,1.26913,1.18739,1.78133,0.00146896,0.00146896,0.00146896
8,870.437,1.19853,0.97878,1.50769,0.72029,0.87777,0.86708,0.51091,1.35307,1.20023,1.84754,0.00143595,0.00143595,0.00143595
9,955.669,1.17383,0.87658,1.48571,0.76964,0.74868,0.85249,0.53268,1.35571,1.06798,1.91582,0.00140295,0.00140295,0.00140295
10,1047.1,1.14447,0.86372,1.48174,0.83473,0.87305,0.91541,0.49724,1.47693,0.93293,2.03491,0.00136994,0.00136994,0.00136994
11,1154.83,1.07322,0.80919,1.41377,0.92087,0.94386,0.96059,0.65399,1.08212,0.69532,1.58257,0.00133693,0.00133693,0.00133693
12,1311.59,1.09859,0.80787,1.44784,0.94371,0.94995,0.98293,0.67291,1.06539,0.62861,1.62601,0.00130393,0.00130393,0.00130393
13,1412.87,1.0668,0.77931,1.40417,0.9435,0.95548,0.98136,0.69307,1.03297,0.6116,1.49681,0.00127092,0.00127092,0.00127092
14,1511.46,1.03933,0.76662,1.38156,0.94208,0.922,0.96184,0.66485,1.08702,0.71641,1.64445,0.00123791,0.00123791,0.00123791
15,1665.57,1.05366,0.75362,1.40782,0.86197,0.8909,0.96546,0.63552,1.06603,0.71396,1.66403,0.00120491,0.00120491,0.00120491
16,1763.74,1.01564,0.70665,1.37573,0.94787,0.93755,0.97877,0.72982,0.95201,0.55955,1.40331,0.0011719,0.0011719,0.0011719
17,1860.32,1.00788,0.70968,1.36743,0.9113,0.91432,0.97934,0.66378,1.06167,0.63359,1.52372,0.00113889,0.00113889,0.00113889
18,2006.35,0.97539,0.6954,1.34398,0.85005,0.91166,0.97446,0.70255,0.97906,0.69711,1.44677,0.00110589,0.00110589,0.00110589
19,2103.99,1.00376,0.67253,1.34852,0.94663,0.96773,0.98182,0.71536,1.01106,0.55377,1.44292,0.00107288,0.00107288,0.00107288
20,2202.72,0.97035,0.68305,1.3439,0.92159,0.95126,0.98119,0.74093,0.90364,0.5531,1.39163,0.00103987,0.00103987,0.00103987
21,2300.51,0.94467,0.6479,1.32757,0.98281,0.95903,0.99047,0.75015,0.88454,0.49848,1.35886,0.00100687,0.00100687,0.00100687
22,2446.98,0.90261,0.61863,1.29778,0.91083,0.9678,0.98433,0.7129,0.96428,0.54839,1.48051,0.000973861,0.000973861,0.000973861
23,2600.38,0.92116,0.63968,1.29514,0.94668,0.9701,0.98258,0.75334,0.86808,0.48613,1.37637,0.000940855,0.000940855,0.000940855
24,2748.67,0.86886,0.59074,1.27001,0.96431,0.98215,0.98837,0.78483,0.81697,0.43692,1.30019,0.000907848,0.000907848,0.000907848
25,2902.75,0.89193,0.60498,1.30575,0.96806,0.98877,0.99258,0.80537,0.7917,0.45111,1.27082,0.000874842,0.000874842,0.000874842
26,2998.13,0.86055,0.60016,1.27984,0.96716,0.97873,0.9923,0.74676,0.91166,0.47925,1.41351,0.000841835,0.000841835,0.000841835
27,3081.98,0.86207,0.57747,1.27792,0.97153,0.94328,0.98821,0.78529,0.79448,0.46532,1.26397,0.000808828,0.000808828,0.000808828
28,3177.89,0.83325,0.56018,1.26047,0.95494,0.95777,0.9837,0.78967,0.77841,0.46177,1.26977,0.000775822,0.000775822,0.000775822
29,3274.48,0.82815,0.56999,1.253,0.98823,0.97121,0.99358,0.80575,0.74679,0.40989,1.21454,0.000742815,0.000742815,0.000742815
30,3370.32,0.82495,0.56178,1.25477,0.98358,0.98537,0.99404,0.8094,0.73808,0.40396,1.18983,0.000709809,0.000709809,0.000709809
31,3517.66,0.79724,0.53629,1.23049,0.97682,0.97491,0.99043,0.81139,0.74541,0.4057,1.20251,0.000676802,0.000676802,0.000676802
32,3616.07,0.79545,0.53339,1.22674,0.90568,0.96648,0.99053,0.82531,0.69669,0.45404,1.17633,0.000643795,0.000643795,0.000643795
33,3759.65,0.76997,0.50556,1.21624,0.97043,0.98354,0.99213,0.8156,0.72428,0.3968,1.20518,0.000610789,0.000610789,0.000610789
34,3867.28,0.77565,0.50011,1.20827,0.9925,0.97825,0.99297,0.80218,0.78209,0.40568,1.23316,0.000577782,0.000577782,0.000577782
35,3962.54,0.75622,0.49696,1.21501,0.97418,0.98077,0.99083,0.7936,0.77177,0.40174,1.27855,0.000544776,0.000544776,0.000544776
36,4109.74,0.73405,0.48993,1.18968,0.98354,0.9879,0.99325,0.8358,0.67085,0.36064,1.15018,0.000511769,0.000511769,0.000511769
37,4204.73,0.73922,0.47832,1.18532,0.97819,0.98908,0.99305,0.8367,0.67726,0.36745,1.14646,0.000478762,0.000478762,0.000478762
38,4294.06,0.71289,0.4576,1.17329,0.98273,0.97392,0.98939,0.82872,0.68853,0.36405,1.14911,0.000445756,0.000445756,0.000445756
39,4462.13,0.70211,0.4547,1.17183,0.98324,0.99493,0.99317,0.83134,0.69908,0.35367,1.17737,0.000412749,0.000412749,0.000412749
40,4599.55,0.70041,0.45863,1.16559,0.99207,0.98634,0.99217,0.84905,0.64183,0.34184,1.12425,0.000379743,0.000379743,0.000379743
41,4723.82,0.59998,0.34864,1.15622,0.99033,0.97873,0.9907,0.84633,0.65887,0.36843,1.14729,0.000346736,0.000346736,0.000346736
42,4816.72,0.60539,0.3297,1.16507,0.9882,0.97614,0.99206,0.84994,0.6335,0.3467,1.13453,0.000313729,0.000313729,0.000313729
43,4900.89,0.57769,0.32812,1.14027,0.99202,0.98011,0.9941,0.84938,0.67144,0.33851,1.13775,0.000280723,0.000280723,0.000280723
44,4997.31,0.58262,0.31363,1.15699,0.99095,0.97873,0.99397,0.84414,0.64847,0.33067,1.1185,0.000247716,0.000247716,0.000247716
45,5089.77,0.56106,0.30964,1.131,0.99206,0.98354,0.99437,0.86076,0.60718,0.31622,1.09223,0.00021471,0.00021471,0.00021471
46,5171.39,0.53152,0.28992,1.11459,0.99173,0.98354,0.9943,0.86214,0.61223,0.32979,1.08845,0.000181703,0.000181703,0.000181703
47,5322.59,0.52857,0.29002,1.10743,0.98962,0.9959,0.99452,0.86059,0.59873,0.31752,1.07498,0.000148696,0.000148696,0.000148696
48,5415.6,0.50908,0.28276,1.08632,0.98786,0.98936,0.99476,0.86994,0.58229,0.30767,1.06581,0.00011569,0.00011569,0.00011569
49,5500.48,0.52058,0.27966,1.09476,0.9914,0.98354,0.99436,0.87491,0.57851,0.31002,1.06149,8.26832e-05,8.26832e-05,8.26832e-05
50,5644.62,0.51443,0.27965,1.10019,0.99201,0.98181,0.99433,0.86976,0.57877,0.30143,1.0763,4.96766e-05,4.96766e-05,4.96766e-05
